day_number,event_num,day,date,event,time,apple_maps,website
4,5,Olympic National Park - Day 2,5/15/26,Ruby Beach,3:00 PM,"https://maps.apple.com/place?address=Ruby%20Beach%20Nature%20Trail,%20Forks,%20WA%20%2098331,%20United%20States&coordinate=47.710912,-124.415477&name=Ruby%20Beach&place-id=I41FDB2D11A1C1778&map=explore",https://www.alltrails.com/trail/us/washington/ruby-beach-trail?u=i&sh=wfcyuq
4,6,Olympic National Park - Day 2,5/15/26,Westend Taproom Tip & Sip,,,
5,1,Olympic National Park - Day 3,5/16/26,Shi Shi Beach,8:30 AM - 11:30 AM,"https://maps.apple.com/place?address=Olympic%20National%20Park,%20Clallam%20Bay,%20WA%20%2098326,%20United%20States&coordinate=48.261427,-124.681907&name=Shi%20Shi%20Beach&place-id=I97F733790FD1BC28&map=explore",https://www.alltrails.com/trail/us/washington/shi-shi-beach-trail?u=i&sh=wfcyuq
5,2,Olympic National Park - Day 3,5/16/26,Cape Flattery,12:15 PM - 1:15 PM,"https://maps.apple.com/place?address=Clallam%20County,%20WA,%20United%20States&coordinate=48.386944,-124.724606&name=Cape%20Flattery&place-id=I80BD88730943AD1D&map=explore",https://www.alltrails.com/trail/us/washington/cape-flattery-trail?u=i&sh=wfcyuq
5,3,Olympic National Park - Day 3,5/16/26,Port Angeles Check In,4:00 PM,,
5,4,Olympic National Park - Day 3,5/16/26,Mighty Pine Brewing,,"https://maps.apple.com/place?address=540%20E%20Eighth%20St,%20Port%20Angeles,%20WA%20%2098362,%20United%20States&coordinate=48.109065,-123.430370&name=Mighty%20Pine%20Brewing&place-id=IAC244334138BAD36&map=explore",https://mightypinebrewing.com/
6,1,Seattle - Day 1,5/17/26,Hit the road,8:00 AM,,
6,2,Seattle - Day 1,5/17/26,Pike Place Market,,,
6,3,Seattle - Day 1,5/17/26,Monorail to Space Needle,,,
6,4,Seattle - Day 1,5/17/26,Space Needle,4:30 PM,,
6,5,Seattle - Day 1,5/17/26,San Fermo,7:30 PM,"https://maps.apple.com/place?address=5341%20Ballard%20Ave%20NW,%20Seattle,%20WA%2098107,%20United%20States&coordinate=47.667262,-122.384456&name=San%20Fermo&place-id=I940F34D5278593CD&map=explore",https://www.sanfermoseattle.com/
7,1,Seattle - Day 2,5/18/26,Whale Watching Tour,9:30 AM - 2:00 PM,"https://maps.apple.com/place?address=459%20Admiral%20Way,%20Edmonds,%20WA%20%2098020,%20United%20States&coordinate=47.807929,-122.391104&name=459%20Admiral%20Way&map=explore",https://www.pugetsoundexpress.com/seattle-whale-watching-tours/
7,2,Seattle - Day 2,5/18/26,Mariners Game,6:40 PM,"https://maps.apple.com/place?address=1250%201st%20Ave%20S,%20Seattle,%20WA%20%2098134,%20United%20States&coordinate=47.591383,-122.332302&name=T-Mobile%20Park&place-id=IE3AB2D668A3F2E8C&map=explore",
